region,tier,patch,n_matches,reference_weight
EUW,EMERALD,15.17,252,0.005383854484724447
EUW,EMERALD,15.18,302,0.005962821260713568
EUW,EMERALD,15.19,355,0.007402677977411029
EUW,EMERALD,15.20,337,0.00809870627508287
EUW,EMERALD,15.21,416,0.008540125763094795
EUW,EMERALD,15.22,571,0.01233877214169907
EUW,EMERALD,15.23,774,0.016694436260976955
EUW,EMERALD,15.24,3242,0.0681390729898098
EUW,EMERALD,15.3,101,0.002533894188090551
EUW,EMERALD,15.4,96,0.0024626817624002293
EUW,EMERALD,15.8,112,0.002169540201853084
EUW,EMERALD,15.9,120,0.0025153594471574534
EUW,EMERALD,16.1,9922,0.11492222237396864
EUW,EMERALD,16.2,12236,0.13776190076694808
EUW,EMERALD,16.3,14635,0.18221503811328044
EUW,EMERALD,16.4,17516,0.21594143802275287
EUW,EMERALD,16.5,23156,0.16976798406402485
EUW,DIAMOND,14.24,55,0.0039015629664170006
EUW,DIAMOND,15.1,47,0.0027124130086566994
EUW,DIAMOND,15.10,36,0.0028021601752801183
EUW,DIAMOND,15.11,41,0.003078230263915201
EUW,DIAMOND,15.12,66,0.0037796238813308336
EUW,DIAMOND,15.13,113,0.005731136999049851
EUW,DIAMOND,15.14,99,0.005090712924177301
EUW,DIAMOND,15.15,85,0.004807814246777394
EUW,DIAMOND,15.16,118,0.005245819440406906
EUW,DIAMOND,15.17,78,0.005383854484724447
EUW,DIAMOND,15.18,125,0.005962821260713568
EUW,DIAMOND,15.19,119,0.007402677977411029
EUW,DIAMOND,15.20,178,0.00809870627508287
EUW,DIAMOND,15.21,175,0.008540125763094795
EUW,DIAMOND,15.22,237,0.01233877214169907
EUW,DIAMOND,15.23,360,0.016694436260976955
EUW,DIAMOND,15.24,1586,0.0681390729898098
EUW,DIAMOND,15.3,44,0.002533894188090551
EUW,DIAMOND,15.4,36,0.0024626817624002293
EUW,DIAMOND,15.8,40,0.002169540201853084
EUW,DIAMOND,15.9,65,0.0025153594471574534
EUW,DIAMOND,16.1,8845,0.11492222237396864
EUW,DIAMOND,16.2,14925,0.13776190076694808
EUW,DIAMOND,16.3,19611,0.18221503811328044
EUW,DIAMOND,16.4,18232,0.21594143802275287
EUW,DIAMOND,16.5,19710,0.16976798406402485
KR,IRON,14.24,440,0.0039015629664170006
KR,IRON,15.1,283,0.0027124130086566994
KR,IRON,15.10,242,0.0028021601752801183
KR,IRON,15.11,207,0.003078230263915201
KR,IRON,15.12,188,0.0037796238813308336
KR,IRON,15.13,460,0.005731136999049851
KR,IRON,15.14,501,0.005090712924177301
KR,IRON,15.15,473,0.004807814246777394
KR,IRON,15.16,425,0.005245819440406906
KR,IRON,15.17,471,0.005383854484724447
KR,IRON,15.18,545,0.005962821260713568
KR,IRON,15.19,700,0.007402677977411029
KR,IRON,15.20,713,0.00809870627508287
KR,IRON,15.21,750,0.008540125763094795
KR,IRON,15.22,1047,0.01233877214169907
KR,IRON,15.23,1627,0.016694436260976955
KR,IRON,15.24,6416,0.0681390729898098
KR,IRON,15.3,281,0.002533894188090551
KR,IRON,15.4,312,0.0024626817624002293
KR,IRON,15.8,208,0.002169540201853084
KR,IRON,15.9,225,0.0025153594471574534
KR,IRON,16.1,9740,0.11492222237396864
KR,IRON,16.2,12643,0.13776190076694808
KR,IRON,16.3,23006,0.18221503811328044
KR,IRON,16.4,31579,0.21594143802275287
KR,IRON,16.5,4003,0.16976798406402485
KR,BRONZE,14.24,974,0.0039015629664170006
KR,BRONZE,15.1,549,0.0027124130086566994
KR,BRONZE,15.10,452,0.0028021601752801183
KR,BRONZE,15.11,654,0.003078230263915201
KR,BRONZE,15.12,684,0.0037796238813308336
KR,BRONZE,15.13,1249,0.005731136999049851
KR,BRONZE,15.14,1257,0.005090712924177301
KR,BRONZE,15.15,1139,0.004807814246777394
KR,BRONZE,15.16,1050,0.005245819440406906
KR,BRONZE,15.17,1032,0.005383854484724447
KR,BRONZE,15.18,1185,0.005962821260713568
KR,BRONZE,15.19,1630,0.007402677977411029
KR,BRONZE,15.20,1818,0.00809870627508287
KR,BRONZE,15.21,1643,0.008540125763094795
KR,BRONZE,15.22,2547,0.01233877214169907
KR,BRONZE,15.23,3651,0.016694436260976955
KR,BRONZE,15.24,16588,0.0681390729898098
KR,BRONZE,15.3,564,0.002533894188090551
KR,BRONZE,15.4,780,0.0024626817624002293
KR,BRONZE,15.8,416,0.002169540201853084
KR,BRONZE,15.9,620,0.0025153594471574534
KR,BRONZE,16.1,13181,0.11492222237396864
KR,BRONZE,16.2,13262,0.13776190076694808
KR,BRONZE,16.3,17379,0.18221503811328044
KR,BRONZE,16.4,18935,0.21594143802275287
KR,BRONZE,16.5,8072,0.16976798406402485
KR,SILVER,14.24,593,0.0039015629664170006
KR,SILVER,15.1,324,0.0027124130086566994
KR,SILVER,15.10,380,0.0028021601752801183
KR,SILVER,15.11,437,0.003078230263915201
KR,SILVER,15.12,499,0.0037796238813308336
KR,SILVER,15.13,812,0.005731136999049851
KR,SILVER,15.14,811,0.005090712924177301
KR,SILVER,15.15,681,0.004807814246777394
KR,SILVER,15.16,726,0.005245819440406906
KR,SILVER,15.17,684,0.005383854484724447
KR,SILVER,15.18,887,0.005962821260713568
KR,SILVER,15.19,1286,0.007402677977411029
KR,SILVER,15.20,1224,0.00809870627508287
KR,SILVER,15.21,1232,0.008540125763094795
KR,SILVER,15.22,1838,0.01233877214169907
KR,SILVER,15.23,2624,0.016694436260976955
KR,SILVER,15.24,9751,0.0681390729898098
KR,SILVER,15.3,382,0.002533894188090551
KR,SILVER,15.4,392,0.0024626817624002293
KR,SILVER,15.8,288,0.002169540201853084
KR,SILVER,15.9,385,0.0025153594471574534
KR,SILVER,16.1,10754,0.11492222237396864
KR,SILVER,16.2,13312,0.13776190076694808
KR,SILVER,16.3,18222,0.18221503811328044
KR,SILVER,16.4,22379,0.21594143802275287
KR,SILVER,16.5,15452,0.16976798406402485
KR,GOLD,14.24,355,0.0039015629664170006
KR,GOLD,15.1,178,0.0027124130086566994
KR,GOLD,15.10,369,0.0028021601752801183
KR,GOLD,15.11,343,0.003078230263915201
KR,GOLD,15.12,436,0.0037796238813308336
KR,GOLD,15.13,745,0.005731136999049851
KR,GOLD,15.14,641,0.005090712924177301
KR,GOLD,15.15,586,0.004807814246777394
KR,GOLD,15.16,634,0.005245819440406906
