predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family
maintenance_diff_z,0.0998461544487568,0.0038406282914061,0.0923185229976007,0.1073737858999128,1.105000905524711,1.0967140951132035,1.1133503313681727,5.306002351994739e-149,319601,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_SILVER,estimated,1.591800705598422e-148
maintenance_diff_z,0.0923995048135378,0.0038530979279587,0.0848474328747386,0.099951576752337,1.0968029126084424,1.0885509769355506,1.1051174034062592,4.435077939400757e-127,338501,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_GOLD,estimated,1.1159228363653518e-126
maintenance_diff_z,0.0945683646861418,0.0041221296906211,0.0864889904925243,0.1026477388797592,1.0991843059544917,1.0903393635523255,1.108100999417578,1.7862073957168886e-116,309870,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_PLATINUM,estimated,4.353880527059916e-116
maintenance_diff_z,0.0911789134582431,0.0042045096057961,0.0829380746308826,0.0994197522856036,1.0954649811547426,1.086474526128948,1.1045298311890044,2.7826433148067182e-104,310041,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_EMERALD,estimated,6.029060515414557e-104
maintenance_diff_z,0.0934506732061514,0.0043020812763433,0.0850185939045184,0.1018827525077844,1.0979564433344058,1.0887373103877884,1.1072536414042409,1.265683394476076e-104,315240,first_post_neutral_blue,logistic,match-score HC0 Wald,tier_DIAMOND,estimated,2.8206658505466836e-104
maintenance_diff_z,0.0918543768346255,0.012312716461013,0.06772145257104,0.115987301098211,1.0962051775892705,1.070067202494305,1.122981611409513,8.644187587998073e-14,31628,first_post_neutral_blue,logistic,match-score HC0 Wald,calendar_2024,estimated,1.5323787087814764e-13
maintenance_diff_z,0.0946914279246681,0.0037764133578934,0.087289657743197,0.1020931981061392,1.099319583458593,1.091212712156998,1.1074866825797216,9.45440275604751e-139,336199,first_post_neutral_blue,logistic,match-score HC0 Wald,calendar_2025,estimated,2.4581447165723527e-138
maintenance_diff_z,0.0955970267965931,0.0016407096776955,0.0923812358283098,0.0988128177648764,1.1003155769504809,1.096782875315265,1.103859657301689,0.0,1834153,first_post_neutral_blue,logistic,match-score HC0 Wald,calendar_2026,estimated,0.0
maintenance_diff_z,0.1139487384081967,0.0526717147579052,0.0107121774827025,0.217185299333691,1.120694674818718,1.010769758277473,1.242574329001889,0.0305122503288939,1757,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.13,estimated,0.03552172426348842
maintenance_diff_z,0.101041157392412,0.0556612497340228,-0.0080548920862726,0.2101372068710967,1.1063221741622755,0.9919774616301448,1.233847340676264,0.0694797761535484,1570,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.14,estimated,0.0742386649311887
maintenance_diff_z,0.10919727029682,0.0546049311832842,0.0021716051775828,0.2162229354160572,1.1153823604493185,1.0021739648198678,1.241379095519714,0.0455251706143735,1603,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.15,estimated,0.05001356771719905
maintenance_diff_z,0.0332211982116836,0.0550089186695774,-0.0745962823806881,0.1410386788040555,1.0337791840592503,0.9281181083358496,1.1514691845743936,0.5458942681877049,1655,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.16,estimated,0.5458942681877049
maintenance_diff_z,-0.0437582738859887,0.0551495081910195,-0.151851309940387,0.0643347621684096,0.9571853061948616,0.859116013255836,1.0664493459075066,0.4275167812956826,1635,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.17,estimated,0.4330689472865356
maintenance_diff_z,0.0929928161353045,0.0467874786057733,0.0012893580679886,0.1846962742026203,1.0974538512797862,1.0012901896474653,1.202853047139993,0.0468606219353944,2041,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.18,estimated,0.05076567376334393
maintenance_diff_z,0.0815168281705715,0.0483141296503599,-0.0131788659441339,0.1762125222852771,1.0849314748422982,0.9869075950735005,1.192691505242516,0.0915600133733532,2172,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.19,estimated,0.09650920328542635
maintenance_diff_z,0.1331566299307038,0.0489485768885254,0.0372174192291938,0.2290958406322137,1.142428922881083,1.0379186597831214,1.2574625492405629,0.0065215394580385,2112,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.20,estimated,0.008074286948047666
maintenance_diff_z,0.0930633706888793,0.0446033116982961,0.0056408797602189,0.1804858616175397,1.0975312843779288,1.0056568194797064,1.1977991864177615,0.0369362750023128,2404,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.21,estimated,0.04115756357400569
maintenance_diff_z,0.1190015517401843,0.0401276278856096,0.0403514010843894,0.1976517023959792,1.1263716661231735,1.0411765804956852,1.2185379060688082,0.0030211616097693,3089,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.22,estimated,0.00386312468134435
maintenance_diff_z,0.0643737938421841,0.0301013298039338,0.0053751874264737,0.1233724002578945,1.0664909720228362,1.005389659665121,1.1313056410238636,0.0324705282660878,5224,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.23,estimated,0.03724560595227718
maintenance_diff_z,0.1379752939474711,0.0255285950717757,0.0879392476067907,0.1880113402881515,1.1479471886802848,1.0919217831515713,1.2068472012670213,6.490424048849132e-08,7638,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_14.24,estimated,1.0331695424698618e-07
maintenance_diff_z,0.0923937608476548,0.0289919841742901,0.0355694718660461,0.1492180498292635,1.0967966126280253,1.036209633044395,1.16092610135074,0.001438200944961,5537,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.1,estimated,0.0018696612284493
maintenance_diff_z,0.1412253290228897,0.0292136360568495,0.0839666023514646,0.1984840556943148,1.1516841266085402,1.0875925701678593,1.2195525823400604,1.3366443603831526e-06,5707,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.10,estimated,2.085165202197718e-06
maintenance_diff_z,0.0698372281013592,0.027081841413101,0.0167568189316811,0.1229176372710373,1.0723336212683616,1.016898001912162,1.130791282056078,0.009915926666923,6272,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.11,estimated,0.012085035625312405
maintenance_diff_z,0.0622982319122511,0.0249473539592161,0.0134014181521874,0.1111950456723149,1.0642796995729842,1.013491619648688,1.1176128711511124,0.0125182584546565,7700,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.12,estimated,0.0150219101455878
maintenance_diff_z,0.1296226211733624,0.020172870588729,0.0900837948194533,0.1691614475272714,1.1383986946883773,1.094265973683283,1.184311327625447,1.313579197511442e-10,11660,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.13,estimated,2.2768706090198328e-10
maintenance_diff_z,0.0808664044791844,0.0216913907637171,0.0383512785822988,0.12338153037607,1.0842260391484428,1.039096181008851,1.1313159700252111,0.0001929736230203,10370,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.14,estimated,0.0002687846892068464
maintenance_diff_z,0.0920206780160746,0.0222814847632828,0.0483489678800404,0.135692388152109,1.0963874929646251,1.0495368460745484,1.1453295224700228,3.628945555195395e-05,9803,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.15,estimated,5.241810246393348e-05
maintenance_diff_z,0.0799725849109688,0.0215632749950625,0.0377085659206462,0.1222366039012913,1.0832573696706405,1.03842855530537,1.1300214376334057,0.000208293005696,10695,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.16,estimated,0.0002850325341103158
maintenance_diff_z,0.0966772047141405,0.0208538097337152,0.0558037376360585,0.1375506717922224,1.1015047556857147,1.0573901374825276,1.1474598483459897,3.5530304727673285e-06,10964,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.17,estimated,5.329545709150993e-06
maintenance_diff_z,0.085175207576444,0.0198960951578078,0.0461788610671406,0.1241715540857475,1.0889078348886163,1.047261708553081,1.1322100896059977,1.860543407036393e-05,12164,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.18,estimated,2.7381582216762012e-05
maintenance_diff_z,0.0871646213943588,0.0181164462464626,0.0516563867512919,0.1226728560374257,1.0910762794333666,1.0530138508313185,1.1305145194456276,1.4991183337901012e-06,15091,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.19,estimated,2.292769216384861e-06
maintenance_diff_z,0.114698218542791,0.032178417928096,0.0516285194037228,0.1777679176818591,1.121534928051661,1.052984506537218,1.1945480555799477,0.00036462613355,4548,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.2,estimated,0.00049035928305
maintenance_diff_z,0.1032034992073267,0.017122366948336,0.0696436599885882,0.1367633384260653,1.1087170091530227,1.072126071761163,1.1465567704793806,1.6660957036719384e-09,16521,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.20,estimated,2.7650098912002385e-09
maintenance_diff_z,0.1017256685981348,0.0165260945807995,0.0693345232197676,0.1341168139765019,1.1070797233334984,1.0717946893954464,1.1435263917080034,7.486119117235401e-10,17439,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.21,estimated,1.26938541553122e-09
maintenance_diff_z,0.0766077497159875,0.0137012345578134,0.049753329982673,0.1034621694493019,1.0796185126583182,1.051011811296708,1.1090038383455512,2.2537229186839357e-08,25172,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.22,estimated,3.6622997428613956e-08
