measure,contrast,type,estimate,ci_low,ci_high,se,family,log10_p,log10_p_holm,p_value,p_holm
enemy_vision_pings_pm,EUW GOLD,local_change,-0.04849295493797234,-0.11637005394099137,0.01826084482668944,0.03446274343658816,local_change_nine_signals,-0.7975278930934834,0.0,1.5939405046e-1,1.0000000000e+0
enemy_vision_pings_pm,EUW PLATINUM,local_change,0.019214343221199526,-0.060073024259985695,0.09702273757083822,0.038448344065395254,local_change_nine_signals,-0.20953531964494546,0.0,6.1725509066e-1,1.0000000000e+0
enemy_vision_pings_pm,EUW EMERALD,local_change,0.06858776211804385,-0.008772833063051683,0.1506280190954717,0.04093685002364217,local_change_nine_signals,-1.0275869439696008,0.0,9.3845414320e-2,1.0000000000e+0
enemy_vision_pings_pm,KR Diamond-Iron,endpoint,0.8881252543208946,0.8511280997510848,0.9245692348863539,0.01902092302532828,endpoint_nine_signals,-475.1798466803215,-473.8788166846575,6.6092673485e-476,1.3218534697e-474
enemy_vision_pings_pm,KR BRONZE-IRON,adjacent,0.2630278692778526,0.24299884349616732,0.2827848850834954,0.010415484725324,adjacent_nine_signals,-139.98483013334965,-137.77531511880701,1.0355471235e-140,1.6775863401e-138
enemy_vision_pings_pm,KR SILVER-BRONZE,adjacent,0.17716830978953518,0.14808785357136262,0.20422188948733203,0.014184690674787465,adjacent_nine_signals,-35.072940550008255,-32.89975428159598,8.4539456217e-36,1.2596378976e-33
enemy_vision_pings_pm,KR GOLD-SILVER,adjacent,0.12591067702749625,0.09380699979449617,0.160844650834618,0.01718899874850442,adjacent_nine_signals,-12.622023802284607,-10.539238431968156,2.3876804182e-13,2.8890933061e-11
enemy_vision_pings_pm,KR PLATINUM-GOLD,adjacent,0.10936547300272403,0.07233235412691567,0.1464175834301874,0.019805321852147183,adjacent_nine_signals,-7.4748052278370025,-5.497081622548155,3.3511569797e-8,3.1835991308e-6
enemy_vision_pings_pm,KR EMERALD-PLATINUM,adjacent,0.1237230050949103,0.07842389513853791,0.16585977411544936,0.022557435500909755,adjacent_nine_signals,-7.383063403444609,-5.409935549844911,4.1393923866e-8,3.8910288434e-6
enemy_vision_pings_pm,KR DIAMOND-EMERALD,adjacent,0.0889299201283762,0.03710952344393368,0.13444813215112283,0.024822724152768316,adjacent_nine_signals,-3.4682786842747353,-1.6901274338910917,3.4018982179e-4,2.0411389307e-2
enemy_vision_pings_pm,KR BRONZE,local_change,-0.08585955948831736,-0.129483291713214,-0.04455569141791896,0.02160070360428146,local_change_nine_signals,-4.152281844653913,-2.0383384923470764,7.0423589175e-5,9.1550665928e-3
enemy_vision_pings_pm,KR SILVER,local_change,-0.05125763276203893,-0.10309236428987228,0.0035139177667600327,0.027231825166693438,local_change_nine_signals,-1.2233028879187082,0.0,5.9799439323e-2,1.0000000000e+0
enemy_vision_pings_pm,KR GOLD,local_change,-0.01654520402477222,-0.07932197927766549,0.04214909319245701,0.03212489699159943,local_change_nine_signals,-0.21714496879532247,0.0,6.0653383299e-1,1.0000000000e+0
enemy_vision_pings_pm,KR PLATINUM,local_change,0.014357532092186265,-0.05932086641375579,0.08210263620533696,0.03657982376466572,local_change_nine_signals,-0.1582090805148429,0.0,6.9468979557e-1,1.0000000000e+0
enemy_vision_pings_pm,KR EMERALD,local_change,-0.034793084966534105,-0.11558070309585164,0.045800908087881585,0.04126993295035653,local_change_nine_signals,-0.3988158437604945,0.0,3.9919413893e-1,1.0000000000e+0
enemy_vision_pings_pm,KR-NA Diamond-Iron,between_region_endpoint,-0.051623220260529346,-0.10189861202175576,-0.0008651119312608049,0.026254670274343327,between_region_endpoint_nine_signals,-1.30741875951046,-0.6084487551744412,4.9269850046e-2,2.4634925023e-1
enemy_vision_pings_pm,KR-EUW Diamond-Iron,between_region_endpoint,-0.15255027607877358,-0.20355186848082893,-0.09879763005434077,0.027863460825075077,between_region_endpoint_nine_signals,-7.358819246647351,-6.279638000599726,4.3770423975e-8,5.2524508770e-7
enemy_vision_pings_pm,EUW-NA Diamond-Iron,between_region_endpoint,0.10092705581824402,0.04766763062966834,0.15422019264171888,0.027497961630059586,between_region_endpoint_nine_signals,-3.615787133564525,-2.712697146572581,2.4222159882e-4,1.9377727906e-3
command_pings_pm,NA Diamond-Iron,endpoint,0.9045543512202479,0.8466235237980947,0.9612399047817687,0.028516523933067216,endpoint_nine_signals,-220.0892823922287,-218.85883347085044,8.1417470931e-221,1.3840970058e-219
command_pings_pm,NA BRONZE-IRON,adjacent,0.054972191369544565,0.007596062034426796,0.10155017029305571,0.023822874340563644,adjacent_nine_signals,-1.6772673411198924,-0.0862027340933933,2.1024838034e-2,8.1996868334e-1
command_pings_pm,NA SILVER-BRONZE,adjacent,0.11803733359665924,0.07207764894956827,0.16254579138934794,0.02287981803640531,adjacent_nine_signals,-6.605107430434349,-4.650864920995024,2.4825189343e-7,2.2342670409e-5
command_pings_pm,NA GOLD-SILVER,adjacent,0.14262297689649772,0.09705475360062187,0.19016917897734162,0.023415958273206246,adjacent_nine_signals,-8.94955790225725,-6.9161341467703,1.1231612144e-9,1.2130141115e-7
command_pings_pm,NA PLATINUM-GOLD,adjacent,0.20087044576320578,0.15011534218313444,0.24778352330457598,0.025321395919504767,adjacent_nine_signals,-14.669181300162666,-12.568810755045103,2.1419962187e-15,2.6989152356e-13
command_pings_pm,NA EMERALD-PLATINUM,adjacent,0.19780924719300086,0.14061867126218275,0.25185713827129896,0.02785510694825101,adjacent_nine_signals,-11.908221417756456,-9.83633941045033,1.2353174670e-12,1.4576746110e-10
command_pings_pm,NA DIAMOND-EMERALD,adjacent,0.19024215640133968,0.13305052901478098,0.24725892365506827,0.030609646660783457,adjacent_nine_signals,-9.289963366138402,-7.248570680980176,5.1290464700e-10,5.6419511170e-8
command_pings_pm,NA BRONZE,local_change,0.06306514222711468,-0.01711923833774538,0.14043957817004948,0.0403363958007945,local_change_nine_signals,-0.9283397214773667,0.0,1.1793977055e-1,1.0000000000e+0
command_pings_pm,NA SILVER,local_change,0.024585643299838478,-0.05492998748087819,0.10308999198825672,0.03978468625929799,local_change_nine_signals,-0.27035195469257006,0.0,5.3659675908e-1,1.0000000000e+0
command_pings_pm,NA GOLD,local_change,0.05824746886670806,-0.02963663322127435,0.13780432836210105,0.04208695723481,local_change_nine_signals,-0.7789384095061077,0.0,1.6636485679e-1,1.0000000000e+0
command_pings_pm,NA PLATINUM,local_change,-0.003061198570204926,-0.09550627139178336,0.08862507000648442,0.04595512674695691,local_change_nine_signals,-0.023700481676119385,0.0,9.4688997445e-1,1.0000000000e+0
