region,display_region,maintenance_difference_sd,model_predictor_z,probability,ci_low,ci_high,se,n_model_matches,n_reference_matches,method,specification
EUW1,EUW,-1.5,-1.4576089465939226,0.45859726947302704,0.45673634632981136,0.4604581926162427,0.0009494505832732961,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.45,-1.4076089465939225,0.45960492434451583,0.45778651697276007,0.4614233317162716,0.0009277588631406877,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.4,-1.3576089465939225,0.4606128780358084,0.45883651289466776,0.46238924317694907,0.0009063087454799317,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.35,-1.3076089465939227,0.4616211231070778,0.4598862875210121,0.4633559586931435,0.0008851201969722822,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.2999999999999998,-1.2576089465939224,0.4626296521108974,0.46093579101201176,0.46432351320978305,0.0008642148463702343,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.25,-1.2076089465939226,0.46363845759241523,0.4619849699915008,0.46529194519332967,0.0008436161229155203,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.2,-1.1576089465939225,0.4646475320895606,0.4630337672647919,0.4662612969143293,0.0008233494003921928,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.15,-1.1076089465939225,0.46565686813324414,0.4640821215291502,0.4672316147373381,0.0008034421449459027,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.1,-1.0576089465939227,0.46666645824753145,0.4651299670825997,0.4682029494124632,0.0007839240637407075,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.0499999999999998,-1.0076089465939224,0.46767629494986124,0.46617723353890506,0.4691753563608174,0.0007648272504878417,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-1.0,-0.9576089465939225,0.46868637075124087,0.4672238455592408,0.47014889594324094,0.0007461863224490117,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.95,-0.9076089465939224,0.4696966781564176,0.46826972261415245,0.4711236336986827,0.0007280385419720034,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.8999999999999999,-0.8576089465939224,0.47070720966410934,0.4693147787933555,0.4720996405348632,0.000710423913649936,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.8499999999999999,-0.8076089465939223,0.4717179577671726,0.47035892268501694,0.4730769928493283,0.0006933852459977984,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.7999999999999998,-0.7576089465939223,0.4727289149528181,0.471402057350551,0.4740557725550852,0.0006769681644219684,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.75,-0.7076089465939225,0.473740073702805,0.47244408042575914,0.4750360669798509,0.0006612210597172784,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.7,-0.6576089465939224,0.4747514264936345,0.4734848843829775,0.4760179686042915,0.0006461949544168345,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.6499999999999999,-0.6076089465939224,0.4757629657967444,0.4745243569917504,0.47700157460173837,0.0006319432678540635,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.5999999999999999,-0.5576089465939223,0.4767746840787146,0.47556238201672263,0.47798698614070656,0.0006185214601999756,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.5499999999999998,-0.5076089465939223,0.4777865738014715,0.476598840188721,0.478974307414222,0.0006059865371175919,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.5,-0.4576089465939225,0.4787986274224732,0.47763361047842223,0.47996364436652417,0.0005943964000259943,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.44999999999999996,-0.40760894659392244,0.4798108373949114,0.4786665716896814,0.48095510310014145,0.00058380903328062,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.3999999999999999,-0.3576089465939224,0.48082319616792046,0.4796976043710407,0.48194878796480023,0.0005742815290203026,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.34999999999999987,-0.30760894659392235,0.4818356961867679,0.48072659301844683,0.482944799355089,0.000565868963429129,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.2999999999999998,-0.2576089465939223,0.4828483298930511,0.4817534285122028,0.4839432312738994,0.0005586231534940279,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.25,-0.20760894659392248,0.48386108972491115,0.4827780106976393,0.484944168752183,0.0005525913404448233,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.19999999999999996,-0.15760894659392244,0.4848739681172159,0.4838002509868692,0.4859476852475626,0.0005478148624217805,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.1499999999999999,-0.10760894659392241,0.48588695750177585,0.4848200748338145,0.4869538401697372,0.000544327891817016,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.09999999999999987,-0.057608946593922364,0.4869000503075305,0.48583742392097057,0.4879626766940904,0.0005421563196734131,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,-0.04999999999999982,-0.007608946593922319,0.48791323896075844,0.486852257899704,0.4889742200218129,0.0005413168678849374,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,0.0,0.0423910534060775,0.4889265158852702,0.487864555548951,0.4899884762215894,0.0005418164981220503,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,0.050000000000000266,0.09239105340607777,0.4899398735026205,0.4888743152573024,0.49100543174793865,0.0005436521659786401,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,0.10000000000000009,0.1423910534060776,0.49095330423229877,0.48988155478837114,0.4920250536762264,0.0005468109407794096,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,0.1499999999999999,0.19239105340607743,0.4919668004919314,0.4908863103496092,0.4930472906342536,0.0005512704807766184,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
EUW1,EUW,0.20000000000000018,0.2423910534060777,0.49298035469748763,0.4918886350418147,0.4940720743531606,0.0005569998243229371,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit
