region,left,right,mid,count,fraction_of_region,n_matches
EUW1,-1.1,-1.0499999999999998,-1.075,9147,0.012120497381643947,754672
EUW1,-1.0499999999999998,-1.0,-1.025,9377,0.012425265545826531,754672
EUW1,-1.0,-0.95,-0.975,9233,0.012234454173468738,754672
EUW1,-0.95,-0.8999999999999999,-0.9249999999999999,10403,0.013784796573875803,754672
EUW1,-0.8999999999999999,-0.8499999999999999,-0.8749999999999999,11482,0.01521455678758454,754672
EUW1,-0.8499999999999999,-0.7999999999999998,-0.8249999999999998,9727,0.012889043186973944,754672
EUW1,-0.7999999999999998,-0.75,-0.7749999999999999,10440,0.013833824495939957,754672
EUW1,-0.75,-0.7,-0.725,14569,0.019305075582504716,754672
EUW1,-0.7,-0.6499999999999999,-0.6749999999999999,10415,0.013800697521572286,754672
EUW1,-0.6499999999999999,-0.5999999999999999,-0.6249999999999999,10946,0.014504314457141647,754672
EUW1,-0.5999999999999999,-0.5499999999999998,-0.5749999999999998,16543,0.021920781478576123,754672
EUW1,-0.5499999999999998,-0.5,-0.5249999999999999,10951,0.01451093985201518,754672
EUW1,-0.5,-0.44999999999999996,-0.475,13228,0.017528144677422773,754672
EUW1,-0.44999999999999996,-0.3999999999999999,-0.42499999999999993,14380,0.019054635656285113,754672
EUW1,-0.3999999999999999,-0.34999999999999987,-0.3749999999999999,12936,0.017141221616808363,754672
EUW1,-0.34999999999999987,-0.2999999999999998,-0.32499999999999984,15667,0.020760012296732886,754672
EUW1,-0.2999999999999998,-0.25,-0.2749999999999999,13356,0.017697754786185255,754672
EUW1,-0.25,-0.19999999999999996,-0.22499999999999998,13632,0.018063476583204358,754672
EUW1,-0.19999999999999996,-0.1499999999999999,-0.17499999999999993,17802,0.023589055907732102,754672
EUW1,-0.1499999999999999,-0.09999999999999987,-0.12499999999999989,14286,0.018930078232662666,754672
EUW1,-0.09999999999999987,-0.04999999999999982,-0.07499999999999984,12035,0.01594732546059745,754672
EUW1,-0.04999999999999982,0.0,-0.02499999999999991,13752,0.018222486060169185,754672
EUW1,0.0,0.050000000000000266,0.025000000000000133,18942,0.02509964593889796,754672
EUW1,0.050000000000000266,0.10000000000000009,0.07500000000000018,12047,0.015963226408293934,754672
EUW1,0.10000000000000009,0.1499999999999999,0.125,14201,0.01881744651981258,754672
EUW1,0.1499999999999999,0.20000000000000018,0.17500000000000004,17309,0.022935791973201603,754672
EUW1,0.20000000000000018,0.25,0.2250000000000001,13288,0.01760764941590519,754672
EUW1,0.25,0.30000000000000027,0.27500000000000013,12892,0.01708291814192126,754672
EUW1,0.30000000000000027,0.3500000000000001,0.3250000000000002,15313,0.020290934339686647,754672
EUW1,0.3500000000000001,0.40000000000000036,0.3750000000000002,12430,0.016470731655606675,754672
EUW1,0.40000000000000036,0.4500000000000002,0.42500000000000027,13712,0.018169482901180912,754672
EUW1,0.4500000000000002,0.5,0.4750000000000001,12871,0.017055091483452415,754672
EUW1,0.5,0.5500000000000003,0.5250000000000001,10572,0.014008734920601267,754672
EUW1,0.5500000000000003,0.6000000000000001,0.5750000000000002,15735,0.020850117667012953,754672
EUW1,0.6000000000000001,0.6500000000000004,0.6250000000000002,10334,0.013693366124621027,754672
EUW1,0.6500000000000004,0.7000000000000002,0.6750000000000003,10152,0.013452201751224373,754672
EUW1,0.7000000000000002,0.75,0.7250000000000001,13554,0.017960120423177222,754672
EUW1,0.75,0.8000000000000003,0.7750000000000001,9830,0.013025526321368754,754672
EUW1,0.8000000000000003,0.8500000000000001,0.8250000000000002,9065,0.01201184090571798,754672
EUW1,0.8500000000000001,0.9000000000000004,0.8750000000000002,10620,0.0140723387113872,754672
EUW1,0.9000000000000004,0.9500000000000002,0.9250000000000003,9318,0.012347085886318825,754672
EUW1,0.9500000000000002,1.0,0.9750000000000001,8371,0.011092236097271398,754672
EUW1,1.0,1.0500000000000003,1.0250000000000001,8426,0.011165115440880276,754672
EUW1,1.0500000000000003,1.1,1.0750000000000002,8346,0.011059109122903725,754672
EUW1,1.1,1.1500000000000004,1.1250000000000002,8097,0.010729164458201709,754672
EUW1,1.1500000000000004,1.2000000000000002,1.1750000000000003,6822,0.00903968876545042,754672
EUW1,1.2000000000000002,1.25,1.225,6660,0.008825025971547905,754672
EUW1,1.25,1.3000000000000003,1.2750000000000001,6219,0.008240666143702165,754672
EUW1,1.3000000000000003,1.35,1.3250000000000002,6661,0.008826351050522612,754672
EUW1,1.35,1.4000000000000004,1.3750000000000002,5140,0.006810905929993428,754672
EUW1,1.4000000000000004,1.4500000000000002,1.4250000000000003,4876,0.006461085080670808,754672
EUW1,1.4500000000000002,1.5,1.475,5474,0.007253482307545529,754672
EUW1,1.5,1.5500000000000003,1.5250000000000001,4347,0.005760118303050862,754672
EUW1,1.5500000000000003,1.6,1.5750000000000002,3996,0.005295015582928743,754672
EUW1,1.6,1.6500000000000004,1.6250000000000002,4207,0.005574607246591897,754672
EUW1,1.6500000000000004,1.7000000000000002,1.6750000000000003,3142,0.004163398138529057,754672
EUW1,1.7000000000000002,1.75,1.725,3626,0.004804736362287192,754672
EUW1,1.75,1.8000000000000003,1.7750000000000001,2980,0.00394873534462654,754672
EUW1,1.8000000000000003,1.85,1.8250000000000002,2681,0.003552536731189179,754672
EUW1,1.85,1.9000000000000004,1.8750000000000002,2657,0.0035207348357962132,754672
EUW1,1.9000000000000004,1.9500000000000002,1.9250000000000003,2465,0.0032663196726524903,754672
EUW1,1.9500000000000002,2.0,1.975,2120,0.002809167426378612,754672
KR,-2.0,-1.95,-1.975,1936,0.002565580668031619,754605
KR,-1.95,-1.9,-1.9249999999999998,2146,0.0028438719595019913,754605
KR,-1.9,-1.85,-1.875,2511,0.0033275687280100185,754605
KR,-1.85,-1.8,-1.8250000000000002,2509,0.00332491833475792,754605
KR,-1.8,-1.75,-1.775,2806,0.0037185017326945885,754605
KR,-1.75,-1.7,-1.725,3312,0.00438905122547558,754605
KR,-1.7,-1.65,-1.6749999999999998,3016,0.00399679302416496,754605
KR,-1.65,-1.6,-1.625,3808,0.005046348751996077,754605
KR,-1.6,-1.55,-1.5750000000000002,3833,0.0050794786676473126,754605
KR,-1.55,-1.5,-1.525,4133,0.00547703765546213,754605
KR,-1.5,-1.45,-1.475,5298,0.0070208917248096685,754605
KR,-1.45,-1.4,-1.4249999999999998,4898,0.006490813074389912,754605
KR,-1.4,-1.35,-1.375,4981,0.006600804394352012,754605
KR,-1.35,-1.2999999999999998,-1.325,6500,0.008613778069321036,754605
KR,-1.2999999999999998,-1.25,-1.275,6454,0.008552819024522764,754605
KR,-1.25,-1.2,-1.225,6717,0.008901345737173752,754605
KR,-1.2,-1.15,-1.1749999999999998,7297,0.0096699597802824,754605
KR,-1.15,-1.1,-1.125,8170,0.010826856434823517,754605
KR,-1.1,-1.0499999999999998,-1.075,8495,0.011257545338289569,754605
KR,-1.0499999999999998,-1.0,-1.025,9075,0.012026159381398215,754605
KR,-1.0,-0.95,-0.975,9106,0.012067240476805746,754605
KR,-0.95,-0.8999999999999999,-0.9249999999999999,10036,0.01329967333903168,754605
KR,-0.8999999999999999,-0.8499999999999999,-0.8749999999999999,10854,0.01438368417914008,754605
KR,-0.8499999999999999,-0.7999999999999998,-0.8249999999999998,10316,0.013670728394325508,754605
KR,-0.7999999999999998,-0.75,-0.7749999999999999,11212,0.01485810457126576,754605
KR,-0.75,-0.7,-0.725,13664,0.018107486698338865,754605
KR,-0.7,-0.6499999999999999,-0.6749999999999999,11701,0.015506125721403913,754605
KR,-0.6499999999999999,-0.5999999999999999,-0.6249999999999999,12154,0.016106439793004287,754605
KR,-0.5999999999999999,-0.5499999999999998,-0.5749999999999998,16174,0.021433730229722836,754605
KR,-0.5499999999999998,-0.5,-0.5249999999999999,12260,0.016246910635365524,754605
KR,-0.5,-0.44999999999999996,-0.475,14458,0.01915969281942208,754605
KR,-0.44999999999999996,-0.3999999999999999,-0.42499999999999993,15368,0.020365621749127028,754605
KR,-0.3999999999999999,-0.34999999999999987,-0.3749999999999999,14086,0.01866671967453171,754605
KR,-0.34999999999999987,-0.2999999999999998,-0.32499999999999984,16662,0.022080426183234938,754605
KR,-0.2999999999999998,-0.25,-0.2749999999999999,15565,0.020626685484458757,754605
KR,-0.25,-0.19999999999999996,-0.22499999999999998,15068,0.01996806276131221,754605
KR,-0.19999999999999996,-0.1499999999999999,-0.17499999999999993,17531,0.023232022051271856,754605
KR,-0.1499999999999999,-0.09999999999999987,-0.12499999999999989,17107,0.022670138681826917,754605
KR,-0.09999999999999987,-0.04999999999999982,-0.07499999999999984,14071,0.01864684172514097,754605
KR,-0.04999999999999982,0.0,-0.02499999999999991,16083,0.02131313733675234,754605
KR,0.0,0.050000000000000266,0.025000000000000133,19623,0.02600433339296718,754605
KR,0.050000000000000266,0.10000000000000009,0.07500000000000018,14262,0.0188999542807164,754605
KR,0.10000000000000009,0.1499999999999999,0.125,16791,0.02225137654799531,754605
KR,0.1499999999999999,0.20000000000000018,0.17500000000000004,17332,0.02296830792268803,754605
KR,0.20000000000000018,0.25,0.2250000000000001,14591,0.01933594397068665,754605
KR,0.25,0.30000000000000027,0.27500000000000013,15290,0.020262256412295173,754605
KR,0.30000000000000027,0.3500000000000001,0.3250000000000002,16045,0.021262779864962465,754605
KR,0.3500000000000001,0.40000000000000036,0.3750000000000002,13875,0.018387103186435286,754605
KR,0.40000000000000036,0.4500000000000002,0.42500000000000027,14767,0.019569178576871342,754605
KR,0.4500000000000002,0.5,0.4750000000000001,14085,0.018665394477905658,754605
KR,0.5,0.5500000000000003,0.5250000000000001,11812,0.015653222546895395,754605
KR,0.5500000000000003,0.6000000000000001,0.5750000000000002,15222,0.020172143041723815,754605
KR,0.6000000000000001,0.6500000000000004,0.6250000000000002,11557,0.015315297407252801,754605
KR,0.6500000000000004,0.7000000000000002,0.6750000000000003,11129,0.014748113251303662,754605
KR,0.7000000000000002,0.75,0.7250000000000001,12581,0.016672298752327376,754605
KR,0.75,0.8000000000000003,0.7750000000000001,10383,0.013759516568270817,754605
KR,0.8000000000000003,0.8500000000000001,0.8250000000000002,9725,0.01288753718833032,754605
KR,0.8500000000000001,0.9000000000000004,0.8750000000000002,10075,0.013351356007447605,754605
KR,0.9000000000000004,0.9500000000000002,0.9250000000000003,9277,0.012293849099860192,754605
KR,0.9500000000000002,1.0,0.9750000000000001,8457,0.011207187866499692,754605
KR,1.0,1.0500000000000003,1.0250000000000001,8401,0.011132976855440926,754605
KR,1.0500000000000003,1.1,1.0750000000000002,7882,0.010445199806521293,754605
KR,1.1,1.1500000000000004,1.1250000000000002,7399,0.009805129836139436,754605
KR,1.1500000000000004,1.2000000000000002,1.1750000000000003,6509,0.00862570483895548,754605
KR,1.2000000000000002,1.25,1.225,5863,0.007769627818527574,754605
KR,1.25,1.3000000000000003,1.2750000000000001,5934,0.00786371677897708,754605
KR,1.3000000000000003,1.35,1.3250000000000002,5579,0.007393271976729547,754605
KR,1.35,1.4000000000000004,1.3750000000000002,4598,0.006093254086575095,754605
KR,1.4000000000000004,1.4500000000000002,1.4250000000000003,4448,0.005894474592667687,754605
KR,1.4500000000000002,1.5,1.475,4593,0.006086628103444848,754605
KR,1.5,1.5500000000000003,1.5250000000000001,3681,0.004878048780487805,754605
KR,1.5500000000000003,1.6,1.5750000000000002,3363,0.004456636253404099,754605
KR,1.6,1.6500000000000004,1.6250000000000002,3344,0.00443145751750916,754605
KR,1.6500000000000004,1.7000000000000002,1.6750000000000003,2673,0.00354225058143002,754605
KR,1.7000000000000002,1.75,1.725,2905,0.0038496961986734784,754605
KR,1.75,1.8000000000000003,1.7750000000000001,2499,0.0033116663684974257,754605
KR,1.8000000000000003,1.85,1.8250000000000002,2177,0.0028849530549095222,754605
KR,1.85,1.9000000000000004,1.8750000000000002,2155,0.002855798729136436,754605
KR,1.9000000000000004,1.9500000000000002,1.9250000000000003,1905,0.0025244995726240883,754605
KR,1.9500000000000002,2.0,1.975,1669,0.002211753168876432,754605
