measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
signalling,KR-NA,10,-0.6378717211946702,-0.816954961941257,0.1790832407465868,descriptive; no pointwise inference
signalling,KR-NA,11,-0.6167590605097449,-0.7975215268450271,0.1807624663352821,descriptive; no pointwise inference
signalling,KR-NA,12,-0.5953529214774795,-0.7792743504057624,0.1839214289282829,descriptive; no pointwise inference
signalling,KR-NA,13,-0.5742507132920404,-0.761858615817029,0.1876079025249886,descriptive; no pointwise inference
signalling,KR-NA,14,-0.5546381190525962,-0.7448657570329854,0.1902276379803892,descriptive; no pointwise inference
signalling,KR-NA,15,-0.5364741839097571,-0.729863668890783,0.1933894849810259,descriptive; no pointwise inference
signalling,KR-NA,16,-0.5171534027513525,-0.7156314269877262,0.1984780242363737,descriptive; no pointwise inference
signalling,KR-NA,17,-0.4985815069842621,-0.7004635276607137,0.2018820206764516,descriptive; no pointwise inference
signalling,KR-NA,18,-0.4816774706353973,-0.6858659188239182,0.2041884481885209,descriptive; no pointwise inference
signalling,KR-NA,19,-0.4649559288237229,-0.6719666940696691,0.2070107652459462,descriptive; no pointwise inference
signalling,KR-NA,20,-0.4487444085347123,-0.658497101840733,0.2097526933060206,descriptive; no pointwise inference
signalling,KR-NA,21,-0.4321084998084313,-0.644991879639227,0.2128833798307956,descriptive; no pointwise inference
signalling,KR-NA,22,-0.4170957075067998,-0.6315074318393744,0.2144117243325745,descriptive; no pointwise inference
signalling,KR-NA,23,-0.4014013942787849,-0.6193413297621218,0.2179399354833368,descriptive; no pointwise inference
signalling,KR-NA,24,-0.3871347943150582,-0.6069580127664315,0.2198232184513732,descriptive; no pointwise inference
signalling,KR-NA,25,-0.3722681066577541,-0.5935673205234312,0.221299213865677,descriptive; no pointwise inference
signalling,KR-NA,26,-0.3566201737236426,-0.5815103109543933,0.2248901372307507,descriptive; no pointwise inference
signalling,KR-NA,27,-0.3422909007204759,-0.5696504265303951,0.2273595258099191,descriptive; no pointwise inference
signalling,KR-NA,28,-0.3269005754867579,-0.556878302289824,0.2299777268030661,descriptive; no pointwise inference
signalling,KR-NA,29,-0.3120797115338585,-0.5451035246539815,0.2330238131201229,descriptive; no pointwise inference
signalling,KR-NA,30,-0.2974244551314184,-0.5325173657287929,0.2350929105973744,descriptive; no pointwise inference
signalling,KR-NA,31,-0.2837846663033699,-0.5197723617658954,0.2359876954625254,descriptive; no pointwise inference
signalling,KR-NA,32,-0.2690880594789744,-0.5082489932448698,0.2391609337658954,descriptive; no pointwise inference
signalling,KR-NA,33,-0.2544408190541162,-0.4969007536803559,0.2424599346262396,descriptive; no pointwise inference
signalling,KR-NA,34,-0.2392361924411142,-0.4846181674918625,0.2453819750507483,descriptive; no pointwise inference
signalling,KR-NA,35,-0.2240909633811662,-0.4724552820785342,0.248364318697368,descriptive; no pointwise inference
signalling,KR-NA,36,-0.209463422304238,-0.4611824356046816,0.2517190133004436,descriptive; no pointwise inference
signalling,KR-NA,37,-0.1948469469306094,-0.4483107869929569,0.2534638400623475,descriptive; no pointwise inference
signalling,KR-NA,38,-0.1800107900070331,-0.437304874551965,0.2572940845449318,descriptive; no pointwise inference
signalling,KR-NA,39,-0.164403947794672,-0.4242795516858186,0.2598756038911465,descriptive; no pointwise inference
signalling,KR-NA,40,-0.1501265893530101,-0.4116804575140581,0.261553868161048,descriptive; no pointwise inference
signalling,KR-NA,41,-0.1359194876776275,-0.3991337920338572,0.2632143043562297,descriptive; no pointwise inference
signalling,KR-NA,42,-0.1217612084985075,-0.3857873858459629,0.2640261773474553,descriptive; no pointwise inference
signalling,KR-NA,43,-0.1074168553395745,-0.3722871914986873,0.2648703361591128,descriptive; no pointwise inference
signalling,KR-NA,44,-0.0918083412939455,-0.3583509537004477,0.2665426124065022,descriptive; no pointwise inference
