measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
overall,NA,-0.9548583478818976,1,335,42000,0.007976190476190477
overall,NA,-0.95480876485885,1,336,42000,0.0080000000000000002
overall,NA,-0.9544014411785005,1,337,42000,0.0080238095238095233
overall,NA,-0.9534526579783406,1,338,42000,0.0080476190476190482
overall,NA,-0.952786168692831,1,339,42000,0.0080714285714285714
overall,NA,-0.951804679200595,1,340,42000,0.0080952380952380946
overall,NA,-0.9513685292523912,1,341,42000,0.0081190476190476195
overall,NA,-0.9507496908536716,1,342,42000,0.0081428571428571427
overall,NA,-0.9505997371268416,1,343,42000,0.0081666666666666658
overall,NA,-0.9505648610909072,1,344,42000,0.0081904761904761907
overall,NA,-0.95015407383536,1,345,42000,0.0082142857142857139
overall,NA,-0.9500438997856748,1,346,42000,0.0082380952380952388
overall,NA,-0.9495451670763456,1,347,42000,0.008261904761904762
overall,NA,-0.9489345046494436,1,348,42000,0.0082857142857142851
overall,NA,-0.948181981419172,1,349,42000,0.00830952380952381
overall,NA,-0.947557592158676,1,350,42000,0.0083333333333333332
overall,NA,-0.94600729852374,1,351,42000,0.0083571428571428564
overall,NA,-0.9454830379623088,1,352,42000,0.0083809523809523813
overall,NA,-0.9453518244291578,1,353,42000,0.0084047619047619045
overall,NA,-0.944974887695708,1,354,42000,0.0084285714285714294
overall,NA,-0.94456475804758,1,355,42000,0.0084523809523809525
overall,NA,-0.9444204272632502,1,356,42000,0.0084761904761904757
overall,NA,-0.944351087262653,1,357,42000,0.0085000000000000006
overall,NA,-0.943253137030507,1,358,42000,0.0085238095238095238
overall,NA,-0.943091951177962,1,359,42000,0.008547619047619047
overall,NA,-0.9427070468839897,1,360,42000,0.0085714285714285719
overall,NA,-0.9426895911640204,1,361,42000,0.008595238095238095
overall,NA,-0.9425784222679304,1,362,42000,0.0086190476190476182
overall,NA,-0.9414550709744928,1,363,42000,0.0086428571428571431
overall,NA,-0.9412318569879856,1,364,42000,0.0086666666666666663
overall,NA,-0.940623087777376,1,365,42000,0.0086904761904761912
overall,NA,-0.9402463291672432,1,366,42000,0.0087142857142857143
overall,NA,-0.9399905082958152,1,367,42000,0.0087380952380952375
overall,NA,-0.9395644617523567,1,368,42000,0.0087619047619047624
overall,NA,-0.9392834643073402,1,369,42000,0.0087857142857142856
overall,NA,-0.9388536027979602,1,370,42000,0.0088095238095238088
overall,NA,-0.9386188399936334,1,371,42000,0.0088333333333333337
overall,NA,-0.9379357975272646,1,372,42000,0.0088571428571428568
overall,NA,-0.9378907430401378,1,373,42000,0.0088809523809523817
overall,NA,-0.9377360898424536,1,374,42000,0.0089047619047619049
overall,NA,-0.9377023340722116,1,375,42000,0.0089285714285714281
overall,NA,-0.9376077346520172,1,376,42000,0.008952380952380953
overall,NA,-0.9370429771788252,1,377,42000,0.0089761904761904762
overall,NA,-0.936921718641854,1,378,42000,0.0089999999999999993
overall,NA,-0.9365072772923426,1,379,42000,0.0090238095238095242
overall,NA,-0.9362591995251154,1,380,42000,0.0090476190476190474
overall,NA,-0.9355393907273232,1,381,42000,0.0090714285714285706
overall,NA,-0.9350347114111944,1,382,42000,0.0090952380952380955
overall,NA,-0.934942042070902,1,383,42000,0.0091190476190476186
overall,NA,-0.9345696973772096,1,384,42000,0.0091428571428571435
overall,NA,-0.9344195530873995,1,385,42000,0.0091666666666666667
overall,NA,-0.9340732630109676,1,386,42000,0.0091904761904761899
overall,NA,-0.9339871309546725,1,387,42000,0.0092142857142857148
overall,NA,-0.9339592840836276,1,388,42000,0.009238095238095238
overall,NA,-0.9339411123965704,1,389,42000,0.0092619047619047611
overall,NA,-0.9339258256505968,1,390,42000,0.009285714285714286
overall,NA,-0.933855383245364,1,391,42000,0.0093095238095238092
overall,NA,-0.9332609906952528,1,392,42000,0.0093333333333333341
overall,NA,-0.9332368736481084,1,393,42000,0.0093571428571428573
overall,NA,-0.9332121044709838,1,394,42000,0.0093809523809523804
overall,NA,-0.933051415252081,1,395,42000,0.0094047619047619054
overall,NA,-0.9330360020846524,1,396,42000,0.0094285714285714285
overall,NA,-0.931520796768171,1,397,42000,0.0094523809523809517
overall,NA,-0.9310484442953104,1,398,42000,0.0094761904761904766
overall,NA,-0.9308133048506084,1,399,42000,0.0094999999999999998
overall,NA,-0.9306784330052192,1,400,42000,0.0095238095238095247
overall,NA,-0.9306423882335548,1,401,42000,0.0095476190476190478
overall,NA,-0.9306004477429366,1,402,42000,0.009571428571428571
overall,NA,-0.9302706192018356,1,403,42000,0.0095952380952380959
overall,NA,-0.929208353466498,1,404,42000,0.0096190476190476191
overall,NA,-0.9286278683837056,1,405,42000,0.0096428571428571423
overall,NA,-0.9283135497452863,1,406,42000,0.0096666666666666672
overall,NA,-0.9277923498215752,1,407,42000,0.0096904761904761903
overall,NA,-0.9272098192506616,1,408,42000,0.0097142857142857135
overall,NA,-0.9271357590624132,1,409,42000,0.0097380952380952384
overall,NA,-0.9270303181079174,1,410,42000,0.0097619047619047616
overall,NA,-0.9266309233879884,1,411,42000,0.0097857142857142865
overall,NA,-0.9265195913109106,1,412,42000,0.0098095238095238096
overall,NA,-0.9263838187438858,1,413,42000,0.0098333333333333328
overall,NA,-0.9257800250234258,1,414,42000,0.0098571428571428577
overall,NA,-0.9255860327920766,1,415,42000,0.0098809523809523809
overall,NA,-0.9253187168179156,1,416,42000,0.0099047619047619041
overall,NA,-0.9252677124372006,1,417,42000,0.009928571428571429
overall,NA,-0.9252070720390808,1,418,42000,0.0099523809523809521
overall,NA,-0.9248903631591224,1,419,42000,0.009976190476190477
overall,NA,-0.9245540168502446,1,420,42000,0.01
overall,NA,-0.924030083349532,1,421,42000,0.010023809523809523
overall,NA,-0.9239697106770168,1,422,42000,0.010047619047619048
overall,NA,-0.9235428837854682,1,423,42000,0.010071428571428571
overall,NA,-0.9232234190198672,1,424,42000,0.010095238095238095
overall,NA,-0.9227771833589072,1,425,42000,0.01011904761904762
