measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
signalling,NA,-1.211724712331535,1,316,42000,0.0075238095238095238
signalling,NA,-1.2107560733781717,1,317,42000,0.0075476190476190478
signalling,NA,-1.210687980285532,1,318,42000,0.0075714285714285718
signalling,NA,-1.2102031314745234,1,319,42000,0.007595238095238095
signalling,NA,-1.2097594757509595,1,320,42000,0.007619047619047619
signalling,NA,-1.209276074084522,1,321,42000,0.0076428571428571431
signalling,NA,-1.2092488982157144,1,322,42000,0.0076666666666666662
signalling,NA,-1.2091613573051156,1,323,42000,0.0076904761904761903
signalling,NA,-1.2090416379494189,1,324,42000,0.0077142857142857143
signalling,NA,-1.2088575590266366,1,325,42000,0.0077380952380952384
signalling,NA,-1.2086256751889328,1,326,42000,0.0077619047619047615
signalling,NA,-1.2085952031357077,1,327,42000,0.0077857142857142856
signalling,NA,-1.208433868171013,1,328,42000,0.0078095238095238096
signalling,NA,-1.2074645047248247,1,329,42000,0.0078333333333333328
signalling,NA,-1.2074183286256412,1,330,42000,0.0078571428571428577
signalling,NA,-1.207263259050896,1,331,42000,0.0078809523809523808
signalling,NA,-1.2068132238048046,1,332,42000,0.007904761904761904
signalling,NA,-1.2061216363090126,1,333,42000,0.0079285714285714289
signalling,NA,-1.2059606845834685,1,334,42000,0.0079523809523809521
signalling,NA,-1.205630602130247,1,335,42000,0.007976190476190477
signalling,NA,-1.2052904031794915,1,336,42000,0.0080000000000000002
signalling,NA,-1.2038846656283548,1,337,42000,0.0080238095238095233
signalling,NA,-1.2030190682569362,1,338,42000,0.0080476190476190482
signalling,NA,-1.2029714134503,1,339,42000,0.0080714285714285714
signalling,NA,-1.2026322848740767,1,340,42000,0.0080952380952380946
signalling,NA,-1.2023019369680807,1,341,42000,0.0081190476190476195
signalling,NA,-1.2021159440720055,1,342,42000,0.0081428571428571427
signalling,NA,-1.2014515970531647,1,343,42000,0.0081666666666666658
signalling,NA,-1.2011370932629528,1,344,42000,0.0081904761904761907
signalling,NA,-1.2011360740187051,1,345,42000,0.0082142857142857139
