region,display_region_linear,maintenance_difference_sd,model_predictor_z_linear,probability_linear,ci_low_linear,ci_high_linear,se_linear,n_model_matches_linear,n_reference_matches_linear,method_linear,specification_linear,display_region_spline,model_predictor_z_spline,probability_spline,ci_low_spline,ci_high_spline,se_spline,n_model_matches_spline,n_reference_matches_spline,method_spline,specification_spline,difference_percentage_points
NA,NA,-0.2999999999999998,-0.2576089465939223,0.4853300501385023,0.4841949645495884,0.4864651357274161,0.0005791253004662,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.2576089465939223,0.4849730642411525,0.4833412875758772,0.4866048409064278,0.0008325391149363,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0356985897349781
NA,NA,-0.25,-0.2076089465939224,0.4862772480621191,0.4851543301456562,0.487400165978582,0.0005729173043178,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.2076089465939224,0.4860174245918173,0.4844393817924196,0.4875954673912149,0.0008051238772437,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0259823470301789
NA,NA,-0.1999999999999999,-0.1576089465939224,0.4872245338507132,0.4861113044301685,0.488337763271258,0.0005679741941554,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.1576089465939224,0.4870676780997211,0.4855378566093432,0.488597499590099,0.0007805211685601,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0156855750992057
NA,NA,-0.1499999999999999,-0.1076089465939224,0.4881719013125674,0.4870658142615575,0.4892779883635773,0.0005643301280662,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.1076089465939224,0.4881221587007129,0.4866312115655834,0.4896131058358424,0.0007606873138415,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,-0.0049742611854475
NA,NA,-0.0999999999999998,-0.0576089465939223,0.4891193442541245,0.4880178023170137,0.4902208861912354,0.0005620111924034,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.0576089465939223,0.4891791994899029,0.4877144716791611,0.4906439273006448,0.0007473101075213,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0059855235778394
NA,NA,-0.0499999999999998,-0.0076089465939223,0.4900668564801366,0.4889672287987718,0.4911664841615014,0.0005610345313085,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,-0.0076089465939223,0.4902371328498459,0.4887836123071643,0.4916906533925276,0.000741592113613,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0170276369709287
NA,NA,0.0,0.0423910534060775,0.4910144317938156,0.4899140725919849,0.4921147909956462,0.000561407756036,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.0423910534060775,0.4912942905830241,0.4898359296482045,0.4927526515178436,0.0007440617014385,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0279858789208498
NA,NA,0.0500000000000002,0.0923910534060777,0.4919620639969587,0.4908583317823726,0.4930657962115447,0.0005631286809112,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.0923910534060777,0.4923490040471312,0.4908702229862489,0.4938277851080135,0.0007544801331031,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0386940050172535
NA,NA,0.1,0.1423910534060776,0.492909746890114,0.4918000234915618,0.4940194702886662,0.0005661854074245,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.1423910534060776,0.4933996042916957,0.4918867121579037,0.4949124964254877,0.0007718837417306,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0489857401581694
NA,NA,0.1499999999999999,0.1923910534060774,0.493857474272711,0.4927391830437491,0.4949757655016728,0.0005705567494703,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.1923910534060774,0.4944444221944936,0.4928867257745295,0.4960021186144576,0.0007947430714102,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0586947921782599
NA,NA,0.2000000000000001,0.2423910534060777,0.4948052399432001,0.4936758625314895,0.4959346173549108,0.0005762129651584,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,linear_logit,NA,0.2423910534060777,0.4954817885963029,0.4938722817371638,0.497091295455442,0.0008211769689485,2210921,2208868,Common-reference standardization; fixed reference distribution; stratified match-score delta-method 95% CI,restricted_cubic_spline,0.0676548653102793
