predictor,beta,se,ci_low,ci_high,odds_ratio,or_low,or_high,p_value,n_matches,outcome,model,interval_method,specification,status,q_value_within_sensitivity_family,patch
maintenance_diff_z,0.1032034992073267,0.017122366948336,0.0696436599885882,0.1367633384260653,1.1087170091530227,1.072126071761163,1.1465567704793806,1.666095703671938e-09,16521,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.20,estimated,2.765009891200238e-09,15.20
maintenance_diff_z,0.1017256685981348,0.0165260945807995,0.0693345232197676,0.1341168139765019,1.1070797233334984,1.0717946893954464,1.1435263917080034,7.486119117235401e-10,17439,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.21,estimated,1.26938541553122e-09,15.21
maintenance_diff_z,0.0766077497159875,0.0137012345578134,0.049753329982673,0.1034621694493019,1.0796185126583182,1.051011811296708,1.1090038383455512,2.2537229186839363e-08,25172,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.22,estimated,3.662299742861396e-08,15.22
maintenance_diff_z,0.1271577850608068,0.0118999813388171,0.1038338216367252,0.1504817484848885,1.135596183759164,1.1094160786481932,1.162394089456238,1.1894845406231824e-26,34050,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.23,estimated,2.1576696318280982e-26,15.23
maintenance_diff_z,0.0899275789849065,0.0058531491509593,0.0784554066490261,0.1013997513207868,1.0940950453621905,1.0816151212441083,1.106718965716026,2.8556237930520956e-53,138968,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_15.24,estimated,5.568466396451586e-53,15.24
maintenance_diff_z,0.0975408950593403,0.0045725202742203,0.0885787553218684,0.1065030347968122,1.1024565256664984,1.0926202988854523,1.112381302291792,5.733346763554359e-101,234473,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.1,estimated,1.2086514798844326e-100,16.1
maintenance_diff_z,0.0960520173542701,0.004200040761051,0.0878199374626101,0.1042840972459301,1.1008163240574222,1.0917915135775849,1.109915734131765,9.391475939761939e-116,281128,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.2,estimated,2.219803403943731e-115,16.2
maintenance_diff_z,0.0976490214298832,0.0036221130134107,0.0905496799235981,0.1047483629361684,1.1025757367341142,1.094775894673468,1.1104311495617702,4.458184864757483e-160,371632,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.3,estimated,1.448910081046182e-159,16.3
maintenance_diff_z,0.0988667766922207,0.0032993712076458,0.0924000091252348,0.1053335442592067,1.1039192219917446,1.09680346573912,1.1110811432945615,2.777495484893536e-197,440223,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.4,estimated,9.419332513986777e-197,16.4
maintenance_diff_z,0.0866318617492192,0.0038079030463859,0.0791683717783028,0.0940953517201356,1.0904951528360605,1.082386550077105,1.0986645004728028,1.417359341475137e-114,346660,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.5,estimated,3.251589077501785e-114,16.5
maintenance_diff_z,0.097777901204824,0.0065497083237021,0.0849404728903678,0.1106153295192801,1.1027178456042024,1.0886522604470945,1.1169651606791178,2.147637032185653e-50,128266,first_post_neutral_blue,logistic,match-score HC0 Wald,patch_16.6,estimated,4.085748500255633e-50,16.6
