measure,contrast,percentile,quantile_region_A,quantile_region_B,quantile_difference,uncertainty
signalling,EUW-NA,42,-0.2840491718220424,-0.3857873858459629,0.1017382140239204,descriptive; no pointwise inference
signalling,EUW-NA,43,-0.2681589514390617,-0.3722871914986873,0.1041282400596256,descriptive; no pointwise inference
signalling,EUW-NA,44,-0.2533534954014066,-0.3583509537004477,0.1049974582990411,descriptive; no pointwise inference
signalling,EUW-NA,45,-0.239447152838496,-0.3450215932550425,0.1055744404165464,descriptive; no pointwise inference
signalling,EUW-NA,46,-0.2246008641697897,-0.3315448719074793,0.1069440077376895,descriptive; no pointwise inference
signalling,EUW-NA,47,-0.2096457056172069,-0.3180680834771919,0.108422377859985,descriptive; no pointwise inference
signalling,EUW-NA,48,-0.1930390307126244,-0.3047675161069644,0.11172848539434,descriptive; no pointwise inference
signalling,EUW-NA,49,-0.1768812300193916,-0.2922014747074165,0.1153202446880249,descriptive; no pointwise inference
signalling,EUW-NA,50,-0.1601653729260582,-0.2780544554666754,0.1178890825406172,descriptive; no pointwise inference
signalling,EUW-NA,51,-0.1433153573265949,-0.2642725929956037,0.1209572356690087,descriptive; no pointwise inference
signalling,EUW-NA,52,-0.1272866761544091,-0.2499690463937734,0.1226823702393642,descriptive; no pointwise inference
signalling,EUW-NA,53,-0.1111161072759396,-0.2348319378732216,0.123715830597282,descriptive; no pointwise inference
signalling,EUW-NA,54,-0.0947893130159849,-0.2199770182095688,0.1251877051935839,descriptive; no pointwise inference
signalling,EUW-NA,55,-0.0782184380366669,-0.2060698795792496,0.1278514415425827,descriptive; no pointwise inference
signalling,EUW-NA,56,-0.0617094833587892,-0.1896251573353923,0.127915673976603,descriptive; no pointwise inference
signalling,EUW-NA,57,-0.0429207670938324,-0.1741945377948222,0.1312737707009898,descriptive; no pointwise inference
signalling,EUW-NA,58,-0.0234496505574681,-0.1576200071020212,0.1341703565445531,descriptive; no pointwise inference
signalling,EUW-NA,59,-0.0043736322479562,-0.1401729759417939,0.1357993436938376,descriptive; no pointwise inference
signalling,EUW-NA,60,0.0138175953012337,-0.1228218581382979,0.1366394534395316,descriptive; no pointwise inference
signalling,EUW-NA,61,0.0316850403769843,-0.1063340180632157,0.1380190584402,descriptive; no pointwise inference
signalling,EUW-NA,62,0.0520076239697449,-0.088503141082606,0.1405107650523509,descriptive; no pointwise inference
signalling,EUW-NA,63,0.0698688712441334,-0.068536800293038,0.1384056715371714,descriptive; no pointwise inference
signalling,EUW-NA,64,0.0898672579058575,-0.0501747771742774,0.140042035080135,descriptive; no pointwise inference
signalling,EUW-NA,65,0.1103770509219863,-0.0315293422873564,0.1419063932093427,descriptive; no pointwise inference
signalling,EUW-NA,66,0.1331379814696053,-0.0114371259690356,0.144575107438641,descriptive; no pointwise inference
signalling,EUW-NA,67,0.1549749963962866,0.0078713287991388,0.1471036675971477,descriptive; no pointwise inference
signalling,EUW-NA,68,0.1781537734019093,0.0271802377132356,0.1509735356886737,descriptive; no pointwise inference
signalling,EUW-NA,69,0.2022391179949054,0.0496304922039881,0.1526086257909173,descriptive; no pointwise inference
signalling,EUW-NA,70,0.225320059456144,0.0701623845051725,0.1551576749509716,descriptive; no pointwise inference
signalling,EUW-NA,71,0.2509273165102604,0.0939239390015434,0.1570033775087169,descriptive; no pointwise inference
signalling,EUW-NA,72,0.2761892129641649,0.1159396039027637,0.1602496090614011,descriptive; no pointwise inference
signalling,EUW-NA,73,0.3028692014632186,0.138701325949126,0.1641678755140926,descriptive; no pointwise inference
signalling,EUW-NA,74,0.3306957435999423,0.1656119458468309,0.1650837977531114,descriptive; no pointwise inference
signalling,EUW-NA,75,0.3581539998359574,0.1913143469090754,0.166839652926882,descriptive; no pointwise inference
signalling,EUW-NA,76,0.3863816248133989,0.2163750347732628,0.170006590040136,descriptive; no pointwise inference
signalling,EUW-NA,77,0.4177482307072499,0.2454324327577189,0.172315797949531,descriptive; no pointwise inference
signalling,EUW-NA,78,0.4465896641011278,0.2737075140084368,0.172882150092691,descriptive; no pointwise inference
signalling,EUW-NA,79,0.4788918588375114,0.3076057014325153,0.1712861574049961,descriptive; no pointwise inference
signalling,EUW-NA,80,0.5134048780664168,0.3412033425047327,0.172201535561684,descriptive; no pointwise inference
signalling,EUW-NA,81,0.5495372723645624,0.3727704239254907,0.1767668484390717,descriptive; no pointwise inference
signalling,EUW-NA,82,0.589539353067702,0.4096698174368232,0.1798695356308787,descriptive; no pointwise inference
signalling,EUW-NA,83,0.6362417672252099,0.4479053736921328,0.188336393533077,descriptive; no pointwise inference
signalling,EUW-NA,84,0.6808584789766593,0.4887603418447417,0.1920981371319175,descriptive; no pointwise inference
signalling,EUW-NA,85,0.7214892282587273,0.5311728960919854,0.1903163321667419,descriptive; no pointwise inference
signalling,EUW-NA,86,0.768627135740962,0.5770928734789089,0.191534262262053,descriptive; no pointwise inference
signalling,EUW-NA,87,0.8165697732132067,0.6274099963741894,0.1891597768390173,descriptive; no pointwise inference
signalling,EUW-NA,88,0.8730440189040766,0.6811096108905703,0.1919344080135062,descriptive; no pointwise inference
signalling,EUW-NA,89,0.9382030716024092,0.7375223058500535,0.2006807657523557,descriptive; no pointwise inference
signalling,EUW-NA,90,1.0021639185683655,0.8011069630230773,0.2010569555452884,descriptive; no pointwise inference
signalling,EUW-NA,91,1.0702532042565511,0.8705672453457436,0.1996859589108077,descriptive; no pointwise inference
signalling,EUW-NA,92,1.1524936022779677,0.9486921442644112,0.2038014580135564,descriptive; no pointwise inference
signalling,EUW-NA,93,1.238459542783613,1.027833325904709,0.2106262168789039,descriptive; no pointwise inference
signalling,EUW-NA,94,1.343275964910456,1.1318263142309128,0.2114496506795431,descriptive; no pointwise inference
signalling,EUW-NA,95,1.4711800418786554,1.2583657958689396,0.2128142460097157,descriptive; no pointwise inference
signalling,EUW-NA,96,1.63045931948758,1.412094402553278,0.218364916934302,descriptive; no pointwise inference
signalling,EUW-NA,97,1.8177599831144688,1.6028903573438058,0.2148696257706628,descriptive; no pointwise inference
signalling,EUW-NA,98,2.0999413897198007,1.882322756952275,0.2176186327675258,descriptive; no pointwise inference
signalling,EUW-NA,99,2.6081451076473847,2.3141782700213764,0.2939668376260083,descriptive; no pointwise inference
