measure,region,score,frequency,cumulative_count,n_players,cumulative_fraction
maintenance,NA,-1.241897920111384,1,254,42000,0.0060476190476190473
maintenance,NA,-1.2402074300801311,1,255,42000,0.0060714285714285714
maintenance,NA,-1.2397682152285352,1,256,42000,0.0060952380952380954
maintenance,NA,-1.239353216090538,1,257,42000,0.0061190476190476194
maintenance,NA,-1.2390192582882054,1,258,42000,0.0061428571428571426
maintenance,NA,-1.2345671786971215,1,259,42000,0.0061666666666666667
maintenance,NA,-1.233877335079414,1,260,42000,0.0061904761904761907
maintenance,NA,-1.2334877840104106,1,261,42000,0.0062142857142857139
maintenance,NA,-1.2333357079564498,1,262,42000,0.0062380952380952379
maintenance,NA,-1.233034370913774,1,263,42000,0.0062619047619047619
maintenance,NA,-1.23142772203658,1,264,42000,0.006285714285714286
maintenance,NA,-1.2290831829841775,1,265,42000,0.0063095238095238091
maintenance,NA,-1.2281085847105335,1,266,42000,0.0063333333333333332
maintenance,NA,-1.225814016311553,1,267,42000,0.0063571428571428572
maintenance,NA,-1.2257710835290008,1,268,42000,0.0063809523809523813
maintenance,NA,-1.2253225374682568,1,269,42000,0.0064047619047619044
maintenance,NA,-1.2221883000041809,1,270,42000,0.0064285714285714285
maintenance,NA,-1.222098381393836,1,271,42000,0.0064523809523809525
maintenance,NA,-1.2207504368369515,1,272,42000,0.0064761904761904765
maintenance,NA,-1.219821227120251,1,273,42000,0.0064999999999999997
maintenance,NA,-1.2185469934781883,1,274,42000,0.0065238095238095237
maintenance,NA,-1.217900509685219,1,275,42000,0.0065476190476190478
maintenance,NA,-1.2173679233496673,1,276,42000,0.0065714285714285718
maintenance,NA,-1.216582057417268,1,277,42000,0.006595238095238095
maintenance,NA,-1.214680206521047,1,278,42000,0.006619047619047619
maintenance,NA,-1.2143740615778678,1,279,42000,0.0066428571428571431
maintenance,NA,-1.2140107924353003,1,280,42000,0.0066666666666666671
maintenance,NA,-1.2129497377192455,1,281,42000,0.0066904761904761903
maintenance,NA,-1.2113442551576818,1,282,42000,0.0067142857142857143
maintenance,NA,-1.209649081582884,1,283,42000,0.0067380952380952383
maintenance,NA,-1.2095681164171086,1,284,42000,0.0067619047619047615
maintenance,NA,-1.2090296154695648,1,285,42000,0.0067857142857142855
maintenance,NA,-1.2084764607128258,1,286,42000,0.0068095238095238096
maintenance,NA,-1.207167852054706,1,287,42000,0.0068333333333333336
maintenance,NA,-1.207081078943807,1,288,42000,0.0068571428571428568
maintenance,NA,-1.2064521086682172,1,289,42000,0.0068809523809523808
maintenance,NA,-1.2062101850170348,1,290,42000,0.0069047619047619049
maintenance,NA,-1.204319346740872,1,291,42000,0.0069285714285714289
maintenance,NA,-1.203892215299177,1,292,42000,0.0069523809523809521
maintenance,NA,-1.2033796531863974,1,293,42000,0.0069761904761904761
maintenance,NA,-1.2031921326532355,1,294,42000,0.0070000000000000001
maintenance,NA,-1.2018565256527796,1,295,42000,0.0070238095238095242
maintenance,NA,-1.2018291315053775,1,296,42000,0.0070476190476190474
maintenance,NA,-1.2018142021448972,1,297,42000,0.0070714285714285714
maintenance,NA,-1.2003249595878025,1,298,42000,0.0070952380952380954
maintenance,NA,-1.1992755306875966,1,299,42000,0.0071190476190476195
maintenance,NA,-1.198136435545203,1,300,42000,0.0071428571428571426
